Serial Number,License Type Code,License Class Code,Certificate Number,Premise Name,DBA,Premise Address,Premise Address 2,Premise Zip,License Issued Date,License Expiration Date,Method of Operation,Days/Hours of Operation,Other
3136478,L,222,926063,LHK ENTERPRISES INC,BAILEY DISCOUNT LIQUOR & WINE,1245 BAILEY AVE,Not Available,14206,4/28/20,4/30/23,LIQUOR STORE SELLING WINE AND LIQUOR,Not Available,Not Available
1318060,L,222,931903,AGED CORK INC,AGED CORK WINE AND SPIRITS MERCHANTS,2237 CENTRAL PARK AVE,Not Available,10710,7/8/20,6/30/23,LIQUOR STORE SELLING LIQUOR & WINE,Not Available,Not Available
2010368,L,222,934464,LOUIS EDGAR HARTELL,HARTELL WINES & LIQUORS,326 N BROADWAY,Not Available,10960,9/17/20,9/30/23,LIQUOR STORE SELLING WINE AND LIQUOR,Not Available,Not Available
2603698,A,122,923629,KTM OSWEGO TOWN OPERATIONS LLC,KTM MINI MART,7314 STATE ROUTE 104,THOMPSON & COBBLESTONE RD,13126,12/24/19,1/31/23,GROCERY STORE SELLING BEER & CIDER,Not Available,Not Available
3165298,OP,252,896157,KING CRAB BUFFALO LLC,Not Available,6651 TRANSIT RD,Not Available,14221,9/21/20,8/31/22,RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,Not Available,Recorded music
1323398,OP,252,923432,1555 OPERATING GROUP LLC,AUNT JAKE'S,1555 2ND AVE,Not Available,10028,9/14/20,8/31/22,RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,Not Available,Recorded Music
1262459,OP,252,927405,HEY MAMBO LLC,BUSTAN NYC,487 AMSTERDAM AVE,Not Available,10024,10/23/20,10/31/22,RESTAURANT SERVING BEER WINE AND LIQUOR CIDER,Not Available,Rear Yard Closure 10:00 P.M. - Last Rear Yard Seating 9:00 P.M.
1202480,EB,141,924270,RICHMOND HILL DELI CORP,RICHMOND HILL DELI RESTAURANT,123 07 JAMAICA AVE,123 & 124TH STREETS,11418,1/28/20,1/31/23,RESTAURANT SERVING BEER & CIDER,Not Available,Deli
1255054,L,222,933733,54 PALMER AVE LIQUORS INC,WILD VINE & LIQUORS,54 PALMER AVE,Not Available,10708,8/13/20,8/31/23,LIQOUR STORE SELLING LIQUOR AND WINE,Not Available,Not Available
3012363,AX,128,921867,REID STORES INC,CROSBY'S,16825 ROOSEVELT HWY,Not Available,14476,10/22/19,10/31/22,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
1154329,OP,252,926768,ALPHA 129 REST LLC,LUCKY JACK'S,127 129 ORCHARD STREET,DELANCEY & RIVINGTON STREETS,10002,10/1/20,9/30/22,TAVERN SERVING BEER CIDER WINE AND LIQUOR,Not Available,Not Available
1171669,AX,122,938097,MY DELI GROCERY INC,Not Available,670 ACADEMY ST,BROADWAY & SEAMAN AVENUE,10034,11/16/20,12/31/23,GROCERY SELLING BEER CIDER AND WINE PRODUCT,Not Available,Not Available
2004359,TL,252,925004,MERONS RESTAURANT INC,Not Available,110 BAILEY AVE,Not Available,12901,8/13/20,9/30/22,RESTAURANT SERVING BEER WINE LIQUOR & CIDER,Not Available,Not Available
1281158,OP,252,928444,TBJK CORP,MIDORI JAPANESE,271 RTE 25A,Not Available,11766,11/13/20,12/31/22,RESTAURANT SERVING BEER WINE AND LIQUOR CIDER,Not Available,RECORDED MUSIC
3132826,OP,252,927292,BRAVO CAFE & CATERING INC,Not Available,5781 SENECA ST,Not Available,14059,10/22/20,10/31/22,RESTAURANT SERVING LIQUOR CIDER WINE & BEER,Not Available,recorded music
2010356,L,222,923635,G & W CORP,HAVERSTRAW BAY LIQUOR,65 BROADWAY,Not Available,10927,12/26/19,1/31/23,LIQUOR STORE SELLING WINES AND LIQUORS,Not Available,Not Available
2506019,A,122,932884,MICHAEL STONE,STONEYS PINEVILLE CAMPGROUND,2904 STATE ROUTE 13,Not Available,13142,7/31/20,8/31/23,GROCERY STORE SELLING BEER AND CIDER,Not Available,Not Available
3160468,OP,252,924601,PIANO WORKS PIZZA INC,FERRARI PIZZA BAR,349 W COMMERCIAL ST,STE 1950,14445,7/31/20,8/31/22,RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,Recorded Music,Licensed Patio
2501570,AX,128,934996,MIRABITO HOLDINGS INC,HANCOCK QUICKWAY #28,90 WEST MAIN ST,Not Available,13788,10/16/20,10/31/23,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
2210476,AX,122,938169,HERSHEY'S DELI INC,HERSHEY'S DELI,167 BROADWAY,Not Available,10927,11/19/20,12/31/23,GROCERY SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
2222970,A,122,916790,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #9496,144 EASTERN BLVD,Not Available,13601,9/11/20,8/31/23,GROCERY STORE SELLING BEER AND CIDER,Not Available,Not Available
1327022,L,222,905128,F & C LIQUOR INC,AGE LIQUORS,1327 WEBSTER AVE,Not Available,10456,9/8/20,8/31/23,LIQUOR STORE SELLING LIQUOR AND WINE,Not Available,Not Available
2221088,AX,122,933075,17K QUICK MART CORP,Not Available,2214 RTE 208,Not Available,12549,8/5/20,7/31/23,GROCERY STORE SELLING BEER WINE PRODUCTS AND CIDER,Not Available,Not Available
2206646,WS,308,924125,THIS REALM LLC,REALM CELLARS,5795 SILVERADO TRAIL,Not Available,94558,1/22/20,1/31/23,DIRECT WINE SHIPPER,Not Available,Not Available
1204055,AX,122,927034,STADIUM GAS INC,Not Available,112 44 ROOSEVELT AVENUE,Not Available,11368,6/10/20,6/30/23,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
1245484,OP,252,927481,M&A TAVERN LLC,MCDERMOTT'S PUB,2634 E TREMONT AVENUE,Not Available,10461,10/27/20,10/31/22,TAVERN SERVING BEER CIDER WINE AND LIQUOR,Not Available,Not Available
1240344,OP,252,925787,44 KPF INC,FLYNNS GARDEN INN,46 08 SKILLMAN AVENUE,Not Available,11104,9/3/20,8/31/22,TAVERN SERVING BEER WINE LIQUOR & CIDER,Not Available,BackYard to Close @ 10:00 PM
3153828,AX,122,920854,S&A MINI MART INC,Not Available,1338 ELECTRIC AVE,Not Available,14218,8/23/19,10/31/22,GROCERY STORE SELLING BEER WINE & CIDER PRODUCTS,Not Available,Not Available
1126983,AX,122,926036,MOONEY POND DELI & MARKET INC,MOONEY POND DELI & MARKET,374 MOONEY POND ROAD,HILLSIDE ROAD & LIDGE DR,11738,4/27/20,4/30/23,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
3111131,AX,122,922597,YURI DARMOGRAI,EURO DELI & GIFTS,4166 UNION RD,Not Available,14225,11/25/19,11/30/22,GROCERY STORE SELLING BEER AND WINE PRODUCTS CIDER,Not Available,Not Available
1250286,A,122,922203,YU'S HILLSIDE DELI INC,FRANHILL DELI,204 17A HILLSIDE AVENUE,Not Available,11423,11/7/19,12/31/22,GROCERY STORE SELLING BEER & CIDER ONLY,Not Available,Not Available
1178757,DX,126,920623,DUANE READE INC,STORE 14317,1915 3RD AVE,Not Available,10029,8/19/19,9/30/22,DRUG CHAIN BEER/WINE PRODUCT CIDER,Not Available,Not Available
2167950,AX,122,924257,QUICK GAS MART INC,Not Available,116 W MAIN STREET,Not Available,13317,1/28/20,1/31/23,GROCERY STORE SELLING BEER CIDER & WINE COOLER PRODUCTS,Not Available,Not Available
3150006,AX,122,925741,KING FOOD MART INC,Not Available,1144 JOSEPH AVE,Not Available,14621,4/6/20,4/30/23,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
2193491,AX,122,922350,MIKE'S MARKET INC,Not Available,166 BROADWAY,Not Available,12550,11/15/19,11/30/22,GROCERY STORE SELLING BEER CIDER & WINE PRODUCTS,Not Available,Not Available
1254868,AX,122,927235,MS CONVENIENCE INC,Not Available,8610 4TH AVE,Not Available,11209,6/16/20,7/31/23,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
1327759,AX,122,905114,MILL BASIN CONVENIENCE CORP,Not Available,6001 STRICKLAND AVE,Not Available,11234,8/26/20,7/31/23,GROCERY STORE SELLING BEER AND WINE PRODUCTS,Not Available,Not Available
1304133,AX,122,933900,34 NOSTRAND FOOD CORP,Not Available,34 NOSTRAND AVE,Not Available,11205,8/20/20,8/31/23,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
1318554,DX,121,933214,TRANSFORM KM LLC,KMART,1998 BRUCKNER BLVD,Not Available,10473,8/26/20,7/31/23,DRUG STORE SELLING BEER WINE PRODUCTS AND CIDER,Not Available,Not Available
1154283,OP,252,925180,PALMCO RESTAURANT CORP,ROSIE'S BISTRO ITALIANO,10 12 PALMER AVENUE,Not Available,10708,8/18/20,8/31/22,RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,Not Available,Not Available
1264281,OP,252,925229,CAPITAL GRILLE HOLDINGS INC,THE CAPITAL GRILL 8049,630 OLD COUNTRY RD,STE 1161D,11530,8/19/20,8/31/22,RESTAURANT SERVING LIQUOR WINE AND BEER CIDER,Not Available,RECORDED MUSIC PERMITTED NO DANCING LICENSED PATIO
1166550,EB,141,934550,LUCKY SIGNS MARKET INC,Not Available,160 ST MARYS AVENUE,TOMPKINS & WHITE PLAINS AVES,10305,9/23/20,9/30/23,EATING PLACE SERVING BEER AND CIDER,Not Available,Not Available
1026629,OP,252,926970,EBAR TENANT CORP,ELI'S TABLE,1411 3RD AVE,Not Available,10021,10/9/20,11/30/22,RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,Not Available,Not Available
3004088,L,222,934589,UNIVERSITY WINE AND SPIRITS INC,SHEPHERDS LIQUOR STORE,3177 BAILEY AVE,Not Available,14215,9/24/20,9/30/23,LIQUOR STORE SELLING WINE AND LIQUOR,Not Available,1575 sq ft
1276337,EB,141,927038,GRIDDLE INC,GRIDDLE,30-18 HUNTERS POINT AVE,Not Available,11101,6/10/20,3/31/23,EATING PLACE SERVING BEER & CIDER,Premises to close at 5:00pm 7 days a week,Recorded music
1050112,AX,128,920129,BJ'S WHOLESALE CLUB INC,BJ'S WHOLESALE CLUB,3303 CROMPOND ROAD,Not Available,10598,7/26/19,9/30/22,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
1311799,OP,252,925874,AUGUST GATHERINGS CORP,Not Available,266 CANAL ST,WEST STORE,10013,9/8/20,9/30/22,RESTAURANT SERVING LIQUOR WINE BEER AND CIDER,Man CB#1 Stips: Su-Th 10AM-11PM & Fr-Sa 10AM-10PM,Man CB#1 Stips: Recorded Background Music only; No Sidewalk Cafe
2219873,A,128,916267,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #19842,1615 STATE HWY 8,Not Available,13809,12/19/19,11/30/22,GROCERY STORE SELLING BEER AND CIDER,Not Available,Not Available
2205163,OP,252,927428,PLUMB OYSTER BAR LLC,Not Available,15 2ND ST,Not Available,12180,10/26/20,10/31/22,BAR/TAVERN SERVING BEER WINE CIDER AND LIQUOR,Not Available,Recorded Music
1304697,AX,122,938121,BROTHERS 3 DELI CORP,Not Available,205 HARVARD ST,Not Available,11550,11/17/20,11/30/23,GROCERY STORE SELLING BEER WINE PRODUCTS AND CIDER,Not Available,Not Available
1023606,L,222,938061,SPIRITS OF CARMINE INC,Not Available,52 CARMINE ST,Not Available,10014,11/13/20,12/31/23,LIQUOR STORE SELLING WINE AND LIQUOR,M-W 10am-9pm Th-Sat 10am-10pm Sun-12pm-8pm,Not Available
1321541,AX,122,905115,FARMER'S FOOD DELI & GRILL INC,Not Available,114-25 FARMERS BLVD,Not Available,11412,8/27/20,7/31/23,GROCERY STORE SELLING BEER AND WINE PRODUCTS,Not Available,Not Available
1327911,OP,252,890145,BURGERS AND CHISMIS LLC,BURGERS AND CHISMIS TSISMIS CHISMIS,143 ORCHARD ST,Not Available,10002,10/9/20,9/30/22,RESTAURANT SERVING LIQUOR WINE BEER AND CIDER; ABOUT 10 PRIVATE EVENTS A,CB3 Stips: 7am-1am Daily,Recorded Music Only No Dancing No Use of Outdoor Space
1290505,OP,252,928081,HUD MOE LLC,HUDSON MALONE,218 E 53RD ST,Not Available,10022,10/29/20,10/31/22,RESTAURANT SERVING BEER WINE AND LIQUOR.,CB6 STIP: SUN-WED CLOSE AT 2AM. THUR-SAT CLOSE AT 4AM.,LIVE AND RECORDED MUSIC INCLUDING JUKE BOX. NO DANCING.
1027844,OP,252,927423,LA BUCA REST CORP,TRUE BLUE,349 W 46TH ST,Not Available,10036,10/23/20,10/31/22,RESTAURANT SERVING BEER WINE LIQUOR & CIDER,Not Available,Not Available
1324720,TW,344,905063,EL PASTORCITO CAFE RESTAURANTE LLC,Not Available,112 VICTORY BLVD,Not Available,10301,8/3/20,7/31/22,TAVERN/CAFE SERVING WINE BEER AND CIDER,CB1 Stips:Sunday - Thursday to close by 1:00am and Friday - Saturday by 2:00am,No Dancing
1328694,AX,122,905155,THREE BROTHERS MINIMART INC,Not Available,711 MANHATTAN AVE,Not Available,11222,9/29/20,8/31/23,GROCERY STORE SELLING BEER AND WINE PRODUCTS,Not Available,Not Available
1325681,RW,341,798347,SABOR HISPANO INC,SABOR HISPANO,37-29 103RD ST,Not Available,11368,9/15/20,7/31/22,RESTAURANT SERVING BEER WINE AND CIDER,Recorded DJ music,Not Available
1294504,OP,252,926031,MERENGUE LI INC,MERENGUE LI,2164 JERICHO TPKE,Not Available,11040,9/14/20,9/30/22,RESTATURANT SERVING BEER WINE CIDER AND LIQUOR,Not Available,Juke Box Music
2506559,AX,128,937523,MIRABITO HOLDINGS INC,CHERRY VALLEY QUICKWAY #24,GENESEE STREET,Not Available,13320,10/16/20,10/31/23,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
2216906,AX,128,916420,FASTRAC EG LLC,FASTRAC STORE 226,ROUTE 28 & MIDDLE BRANCH RD,Not Available,13420,10/27/19,9/30/22,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
1108851,OP,252,927389,BARMAR LLC,LA PALAPA,77 ST MARKS PLACE,Not Available,10003,10/23/20,10/31/22,RESTAURANT SERVING LIQUOR WINE CIDER & BEER,Not Available,Not Available
1204140,L,222,925482,M M J WINE & SPIRITS INC,Not Available,4251 KATONAH AVENUE,E 234 STREET & E 235 STREET,10470,3/30/20,5/31/23,LIQUOR STORE SELLING WINES & LIQUORS,Not Available,Not Available
1258172,AX,122,938037,ROBIN GROCERY & NEWS INC,Not Available,6337 39TH AVE,Not Available,11377,11/10/20,11/30/23,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
2217250,FD,106,999999,OLD FACTORY BREWING COMPANY LLC,Not Available,628 MAIN ST,UNIT 1,12413,4/24/20,3/31/23,Not Available,Not Available,Not Available
3164683,A,122,916137,GROCERY STORE SELLING BEER AND CIDER,DOLLAR GENERAL STORE #19760,11184 BIG TREE RD,Not Available,14052,1/29/20,12/31/22,GROCERY STORE SELLING BEER AND CIDER,Not Available,Not Available
1319589,AX,122,904823,HARMAN FOOD MARKET CORP,Not Available,1711 HARMAN ST,Not Available,11385,1/21/20,12/31/22,GROCERY STORE SELLING BEER AND WINE PRODUCTS,Not Available,Not Available
2140411,AX,122,926163,BULLVILLE GROCERY INC,Not Available,1400 ROUTE 302,ROUTE 32 & ROUTE 17K,10915,5/1/20,5/31/23,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
2217135,WS,308,917701,JAX VINEYARDS LLC,JAX VINEYARDS,4708 SILVERADO TRAIL,Not Available,94515,9/5/19,8/31/22,Not Available,Not Available,Not Available
2222033,WS,308,931835,RAMIIISOL VINEYARDS LLC,RAMIIISOL VINEYARDS,2260 BUCK MOUNTAIN RD,Not Available,22940,6/29/20,5/31/23,DIRECT WINE SHIPPER,Not Available,Not Available
1245739,A,122,924943,EPIFANIO GUERRERO,GUERRERO DELI GROCERY,1627 MERMAID AVENUE,Not Available,11224,2/28/20,2/28/23,GROCERY STORE SELLING BEER & CIDER ONLY,Not Available,Not Available
1036530,AX,122,920255,HAN NAM CHIN CORP,Not Available,141 40 NORTHERN BLVD,Not Available,11354,8/1/19,8/31/22,GROCERY STORE SELLING BEER WINE & CIDER PRODUCTS,Not Available,Not Available
1023685,L,222,920862,FUNSAN K CORP,BEACON WINE & SPIRITS,2120 BROADWAY,Not Available,10023,8/23/19,8/31/22,LIQUOR STORE SELLING WINES AND LIQUORS,Not Available,Not Available
3001429,CL,243,924787,UKRAINIAN AMERICAN NATIONAL CLUB INC,Not Available,156 HORSEHEADS BLVD,Not Available,14903,8/6/20,9/30/22,CLUB TAVERN SERVING BEER WINE CIDER  AND LIQUOR,Not Available,Not Available
2216687,A,123,916391,TA OPERATING LLC,TRAVELCENTERS OF AMERICA,753 UPPER COURT ST,Not Available,13904,10/28/19,9/30/22,GROCERY STORE SELLING BEER AND CIDER,Not Available,Not Available
2205579,AX,122,922850,DATLAII INC,EZ FOOD MART,387 MAIN ST,Not Available,13820,12/6/19,12/31/22,GROCERY STORE SELLING BEER WINE PRODUCTS AND CIDER,Not Available,Not Available
1320029,AX,122,916607,EL GORDO DELI GROCERY CORP,Not Available,1665 TOPPING AVE,Not Available,10457,6/9/20,5/31/23,GROCERY STORE SELLING BEE CIDER AND WINE PRODUCTS,Not Available,Not Available
1322147,AX,128,933068,STOP & SHOP SUPERMARKET CO LLC THE,STOP & SHOP STORE #543,88 GOLDING AVE,Not Available,11704,8/4/20,6/30/23,GROCERY STORE SELLING BEER WINE PRODUCTS AND CIDER,Not Available,Not Available
3154561,L,222,926301,QUEEN CITY WINE & LIQUOR INC,QUEEN CITY WINE & LIQUOR,2101 ELMWOOD AVE,STE 525,14207,5/5/20,6/30/23,LIQUOR STORE SELLING WINES AND LIQUORS,Not Available,3000 sq. ft.
3154424,AX,122,932270,K P S LLC,LAKEVIEW GULF,6748 STATE RTE 415 S,UNIT A,14810,7/2/20,6/30/23,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
1318260,A,122,917812,SEEMA KUMAR LLC,Not Available,128 E MAIN ST,Not Available,10523,10/21/19,9/30/22,GROCERY STORE SELLING BEER WINE PRODUCTS AND CIDER,Not Available,Not Available
3153746,AX,122,920195,MALCHO'S 480 PLANK ROAD LLC,Not Available,480 PLANK RD,SUITE 1,14580,7/30/19,9/30/22,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
3153246,FW,302,999999,VINEYARD VIEW WINERY LLC,VINEYARD VIEW WINERY,2971 WILLIAMS HILL RD,Not Available,14478,10/12/16,10/31/22,FARM WINERY,Not Available,Not Available
1002409,AX,122,932158,ROSA FRASCA,Not Available,1028 MORRIS PARK AVE,Not Available,10461,6/26/20,6/30/23,GROCERY STORE SELLING BEER CIDER CIDER AND WINE COOLER PRODUCTS,Not Available,Not Available
1325879,RW,341,836441,DRAGONFLY SOUL INC,RED BAMBOO,140 W 4TH ST,Not Available,10012,11/13/20,10/31/22,RESTAURANT SERVING BEER CIDER AND WINE,CB 2 Stips: Sun 12p - 11p; Mon thru Thurs: 12:30p - 11p,Fri 12:30p - 11:30p; Sat 12p - 11:30p; Recorded Music FB Stips: No Dancing No Promo No Security
1302828,L,222,925506,KEWVINO CORP,ZEE'S WINES & LIQUOR,81-58 LEFFERTS BLVD,Not Available,11415,3/30/20,5/31/23,LIQUOR STORE SELLING LIQUOR & WINE,Not Available,Not Available
2110890,AX,122,920936,SHAH & CHAUDHRY INC,PHOENICIA SUPERMARKET,85 MAIN STREET,Not Available,12464,8/29/19,8/31/22,GROCERY SELLING BEER CIDER AND WINE COOLER PRODUCTS,Not Available,Not Available
3000018,AX,122,925027,THOMAS A ZILLIOX,UNCLE TOM'S KABIN,10985A RUSHFORD RD,PO BOX 24,14029,3/4/20,4/30/23,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
1304399,OP,252,927038,SAM RESTAURANT CORP,MIGUELENO RESTAURANT,756 SUFFOLK AVE,Not Available,11717,10/14/20,10/31/22,RESTAURANT SERVING BEER WINE CIDER & LIQUOR,Not Available,Recorded Music
2207209,WS,308,924427,NOJOQUI RANCH LLC,FOLDED HILLS,9050 SAN ANTONIO RD,Not Available,93455,2/3/20,2/28/23,DIRECT WINE SHIPPER,Not Available,Not Available
2222104,AX,122,916811,MAINES FOOD & PARTY WAREHOUSE INC,MAINES FOOD & PARTY WAREHOUSE,1018 1022 FRONT ST,Not Available,13905,9/25/20,8/31/23,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
1304024,AX,122,937931,PRATT GOURMET & DELI CORP,PRONTO GOURMET & DELI,551 MYRTLE AVE,Not Available,11205,11/4/20,12/31/23,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
1299556,EB,141,924085,5014 3RD AVE CORP,RESTAURANT SALVADORENO USULUTECO #2,5014 3RD AVE,Not Available,11220,1/21/20,1/31/23,RESTAURANT SERVING BEER AND CIDER,Not Available,Jukebox music
2214285,OP,252,927355,COAL YARD CORP,COAL YARD,720 RAILROAD ST,Not Available,13052,10/23/20,11/30/22,BAR/TAVERN SERVING LIQUOR WINE BEER AND CIDER,Recorded/Juke Box Music with Patron Dancing,Licensed Deck & Pavilion
1234779,L,222,919865,WINE HUT CORP THE,Not Available,213B 6TH AVENUE,KING ST & CHARLTON ST,10014,7/22/19,8/31/22,LIQUOR STORE,Not Available,Not Available
1251182,AX,122,925798,MERRICK ROAD FOOD CORP,7 ELEVEN STORE #34373,200 E MERRICK ROAD,Not Available,11520,4/6/20,4/30/23,GROCERY STORE SELLING BEER CIDER & WINE PRODUCTS,Not Available,Not Available
1279008,AX,122,932925,DELI GROCERY MONTEFU CORP,Not Available,215 E GUN HILL RD,Not Available,10467,8/4/20,8/31/23,GROCERY STORE SELLING BEER CIDER  AND WINE PRODUCTS,Not Available,Not Available
2205093,OP,252,927221,RIVERSIDE 387 WEST MAIN LLC,RIVERSIDE RESTAURANT,387 W MAIN ST,Not Available,12953,10/20/20,10/31/22,RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,Not Available,Not Available
1263420,OP,252,925757,SMUGGLER JACK'S,SMUGGLER JACK'S,157 FOREST AVE,Not Available,11758,9/3/20,9/30/22,RESTAURANT SERVING BEER CIDER  WINE AND LIQUOR,Not Available,Outdoor Biergarten
2196675,TW,344,934659,JIMMY STEWART LLC,HUDSON NEWS/QUIZNOS,1130 1ST ST,#K2 STEWART INTERNTNAL AIRPORT,12553,9/30/20,9/30/22,TAVERN SERVING BEER CIDER AND WINE ONLY,Not Available,Not Available
2209195,AX,122,934409,CRYSTAL RUN SUNOCO INC,Not Available,2 BEN GILMAN WAY,Not Available,10941,9/16/20,10/31/23,GROCERY STORE SELLING BEER WINE AND CIDER,Not Available,Not Available
3150325,FW,302,921272,MONELLO LLC,Not Available,701 STATE ROUTE 14,Not Available,14527,9/23/19,9/30/22,FARM WINERY PRODUCING WINE,Not Available,Not Available
3164408,AX,122,916596,A PLUS CONVENIENCE STORES INC,7 ELEVEN STORE #35115,1735 ST RT 14,Not Available,14532,6/8/20,5/31/23,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
3155372,OP,252,928118,FUJI GRILL SIU LLC,FUJI GRILL,7310 NIAGARA FALLS BLVD,Not Available,14304,11/2/20,11/30/22,RESTAURANT SERVING BEER WINE CIDER AND LIQUOR CIDER,Not Available,Not Available
1167618,AX,122,934599,MPM ENTERPRISES INC,UNION MARKET,754 756 UNION STREET,CRN OF 6TH AVE & UNION ST,11215,9/25/20,9/30/23,GROCERY STORE SELLING BEER CIDER & WINE COOLER PRODUCTS,Not Available,Not Available
1284799,OP,252,924620,HH BOWEN LLC,HARLEM HOOKAH,387 LENOX AVE,Not Available,10027,7/31/20,8/31/22,RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,Not Available,RECORDED/DJ MUSIC PLAYED NO DANCING PERMITTED
2216504,AX,122,917829,RAVENA PETROLEUM INC,Not Available,993 TROY SCHENECTADY RD,Not Available,12110,10/24/19,9/30/22,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
1324919,OP,252,890187,HILLS PLACE LLC,HILLS PLACE RESTAURANT BAR & LOUNGE,2112 FLATBUSH AVE,Not Available,11234,11/25/20,10/31/22,RESTAURANT SERVING WINE LIQUOR BEER AND CIDER,Not Available,Recorded DJ and Karaoke Music Permitted. No Dancing. No Outdoor Use.
2013261,FW,302,921913,EL PASO WINERY INC,EL PASO WINERY,742 BROADWAY,Not Available,12487,10/23/19,10/31/22,FARM WINERY,Not Available,Not Available
1299645,AX,122,924071,BAYRIDGE DELI & GROCERY INC,Not Available,8529 3RD AVE,Not Available,11209,1/17/20,1/31/23,GROCERY STORE SELLING BEER AND WINE PRODUCTS,Not Available,Not Available
2205708,WS,308,922080,CLOS DE LA TECH LLC,CLOS DE LA TECH,1000 FERN HOLLOW RD,Not Available,94020,11/1/19,10/31/22,DIRECT WINE SHIPPER,Not Available,Not Available
2216676,L,222,917923,JT GREWAL ENTERPRISE INC,POUGHKEEPSIE WINE & LIQUOR,701 MAIN ST,Not Available,12601,11/18/19,10/31/22,LIQUOR STORE SELLING LIQUOR AND WINE,Not Available,Not Available
1165962,AX,122,932818,GLEASON GROCERY CORP,Not Available,1791 GLEASON AVE,ST LAWRENCE & GLEASON AVENUES,10472,7/29/20,7/31/23,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
2187771,L,222,927419,ANTHONY J TREMBLAY,ANTHONY'S LOUDONVILLE WINE & SPIRITS,269 OSBORNE RD SUITE 2,Not Available,12211,6/23/20,6/30/23,LIQUOR STORE SELLING WINE & LIQUOR,Not Available,Not Available
2207531,AX,122,927087,WELLS EDGE COUNTRY STORE LLC,Not Available,1488 STATE RTE 30,Not Available,12190,6/11/20,6/30/23,GROCERY STORE SELLING BEER WINE PRODUCTS & CIDER,Not Available,Not Available
1247901,AX,122,922902,CHRISTOPHER STEPHENS,7 ELEVEN STORE # 34532,653 MONTAUK HWY,Not Available,11954,12/10/19,1/31/23,GROCERY STORE SELLING BEER WINE & CIDER PRODUCTS,Not Available,Not Available
1318418,AX,122,904601,6119 CSTORE INC,7 ELEVEN STORE # 34139C,61-19 NORTHERN BLVD,Not Available,11377,10/30/19,9/30/22,GROCERY STORE SELLING BEER AND WINE PRODUCTS,Not Available,Not Available
1317854,AX,122,904519,C & A FIVE WINGS INC,MET FRESH,134 S LEXINGTON AVE,Not Available,10606,10/7/19,9/30/22,GROCERY STORE SELLING BEER WINE PRODUCTS AND CIDER,Not Available,Not Available
1255444,AX,122,937878,YOUR DEAL FOOD CORP,Not Available,472 WILSON AVENUE,Not Available,11221,11/3/20,11/30/23,GROCERY STORE SELLING BEER CIDER & WINE,Not Available,Not Available
3162772,AX,122,916052,GOLDEN FARMS INC,GOLDEN FARMS,2280 CULVER RD,Not Available,14609,9/24/19,8/31/22,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
1274806,AX,122,922589,DELANCEY'S ORCHARD LLC,FRESHCO,97 STANTON ST,Not Available,10002,11/22/19,11/30/22,GROCERY STORE SELLING BEER CIDER & WINE PRODUCTS,Not Available,Not Available
2218808,AX,122,923437,PARKO MANAGEMENT 4 INC,Not Available,2071 CENTRAL AVE,Not Available,12205,4/23/20,3/31/23,GROCERY STORE SELLING BEER WINE PRODUCTS & CIDER,Not Available,Not Available
