Serial Number,License Type Code,License Class Code,Certificate Number,Premise Name,DBA,Premise Address,Premise Address 2,Premise Zip,License Issued Date,License Expiration Date,Method of Operation,Days/Hours of Operation,Other
1272421,OP,252,924174,L & L LOCAL INC,THE LOCAL,4104 31ST AVE,Not Available,11103,7/20/20,7/31/22,BAR/TAVERN SERVING LIQUOR BEER WINE & CIDER,Not Available,Not Available
3014038,RW,341,841023,MACEDON HILLS FAMILY RESTAURANT INC,Not Available,1090 PITTSFORD PALMYRA RD,Not Available,14502,9/20/19,9/30/21,RESTAURANT SERVING BEER CIDER & WINE,Not Available,Not Available
1308688,RW,341,842042,TOP HOPS II INC,Not Available,570 LEXINGTON AVE,BOOTH #116,10022,3/2/20,2/28/22,RESTAURANT SERVING BEER WINE & CIDER,Not Available,Recorded Music
1269941,OP,252,924656,CABO RESTAURANT LLC,BARRIO BX,3764 E TREMONT AVE,Not Available,10465,8/3/20,4/30/22,RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,Sun-Wed 12pm-12amThur-Sat 12pm-2am & out door hrs Sun-Thur12pm-12amFri-Sat 12pm-2am,No Loud Outside Music After 10:00 p.m.
1269033,AX,122,912592,EIFFEL REDDINGS LLC,MARIE EIFFEL MARKET,184 N FERRY RD,Not Available,11965,1/11/19,2/28/22,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
1316047,AX,122,904215,JAR DELI MARKET CORP,Not Available,501 W 134TH ST,Not Available,10031,6/10/19,5/31/22,GROCERY STORE SELLING BEER & WINE PRODUCTS,Not Available,Not Available
1175821,OP,252,917007,LAS CAMELIAS BAR & RESTAURANT CORP,Not Available,1802 WESTCHESTER AVENUE,BEECH &  TAYLOR AVENUES,10472,4/6/20,5/31/22,RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,Not Available,Not Available
2208840,OP,252,912390,DI PRINZIOS LLC,Not Available,428 RIVERSIDE DR,Not Available,13624,10/30/19,10/31/21,RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,Recorded DJ & Live Music; Patron Dancing,Licensed Patio
1290879,EB,141,913057,GUTIERREZ DELI INC,Not Available,416 CONKLIN ST,Not Available,11735,2/1/19,2/28/22,EATING PLACE BEER AND CIDER ONLY,Not Available,Recorded Music
1113011,A,122,912723,JOBA GROCERY INC,Not Available,92 36A GUY R BREWER  BLVD,Not Available,11433,1/17/19,1/31/22,GROCERY STORE SELLING BEER & CIDER,Not Available,Not Available
1268182,AX,122,914266,BX METRO SUPERETTE CORP,Not Available,3504 FT INDEPENDENCE ST,Not Available,10463,3/25/19,3/31/22,GROCERY STORE SELLING BEER AND WINE PRODUCTS,Not Available,Not Available
1104173,OP,252,917303,NUEVO  MEXICO INC,TACOS NUEVO MEXICO RESTAURANT,489 491 5TH AVENUE,Not Available,11215,4/24/20,4/30/22,TAVERN RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,Not Available,Not Available
